Company,Date,New Democracy,SYRIZA,PASOK,KKE,Elliniki Lysi,MERA25
RASS,15/5/2023,30.8,24.2,9.8,7.2,2.7,3.2
Opinionpoll,15/5/2023,32.5,26.1,8.6,5.8,3.2,3.1
MRB,15/5/2023,30.7,25.7,8.5,5.8,3.5,3.4
Marc,14/5/2023,32.9,26.3,8.9,6,3.3,3.2
Prorata,13/5/2023,31.5,27,9.5,7,3,3.5
MetronAnalysis,12/5/2023,31.1,24.1,8.9,6.3,2.8,3.8
KapaResearch,12/5/2023,31.6,25.8,8.5,6.6,3.8,3.5
Marc,10/5/2023,32.4,26.3,9,6,3.2,3.3
PulseRC,9/5/2023,31.5,25.5,8.5,6,3,4
Alco,8/5/2023,30.8,24.5,8.6,6,3.6,3.1
GPO,6/5/2023,33,27.1,9,6.2,3.1,3.2
MetronAnalysis,4/5/2023,29.3,23,8.9,5.5,2.6,3.7
RASS,3/5/2023,29.5,23.7,10.3,7.1,3.5,3.7
Prorata,2/5/2023,31.5,27.5,9.5,6,3,3.5
GPO,28/4/2023,32.8,26.9,9,6.3,3.1,3.2
MRB,27/4/2023,29.7,24.9,8.3,5.5,3,3.2
Marc,26/4/2023,32.1,26.1,9,6.1,3.7,3.6
PulseRC,25/4/2023,31,25,9,5.5,3.5,4.5
Opinionpoll,24/4/2023,31.1,25.2,9.6,5.1,4.1,3.2
Alco,24/4/2023,29.6,23.8,8.3,5.7,3.6,3.5
MetronAnalysis,23/4/2023,27.8,22.2,8.5,6,4,4.4
GPO,8/4/2023,31.4,26.6,9.5,6.3,3.6,3.2
PulseRC,4/4/2023,29.5,25,9.5,5.5,3.5,3.5
RASS,3/4/2023,28.2,23.1,11.4,6.8,4.8,4.4
Prorata,1/4/2023,28.5,25.5,9,5.5,3.5,3
Marc,1/4/2023,30.9,25.7,9.5,5.8,3.9,4.2
PalmosAnalysis,31/3/2023,26,22,9,6,4,4
MetronAnalysis,30/3/2023,26.2,21.5,9.4,5.7,4.2,3.9
MRB,30/3/2023,28,24.7,8,5.1,4.6,3.8
GPO,21/3/2023,30.2,26.1,9.2,6.5,3.4,3.1
Alco,20/3/2023,26.1,22.8,8.6,5.5,3.5,3.1
PulseRC,16/3/2023,28.5,25,9.5,6,3.5,3
MetronAnalysis,16/3/2023,26.3,20.5,9.2,5.9,4,3.5
MRB,14/3/2023,27.4,24.5,9,5.1,4.5,3.9
Prorata,14/3/2023,28.5,26,9.5,5,3.5,3
GPO,13/3/2023,29.5,25.6,9.2,6.7,3,3.3
Marc,9/3/2023,29.6,25,9.7,5.6,3.9,3.5
Alco,21/2/2023,29.5,23.1,9,5.4,3.4,2.5
Opinionpoll,20/2/2023,32.9,25.3,9.8,4.4,3.9,2.3
GPO,13/2/2023,33.8,26.4,9.8,6.4,3,2.4
Marc,12/2/2023,32.5,25.1,9.8,5.3,3.6,2.7
Marc,1/2/2023,32.7,25.2,9.8,5.3,3.9,2.8
Prorata,26/1/2023,31,26,9,4.5,3.5,3
MRB,26/1/2023,30.2,24.3,10.5,5,4.4,2.9
GPO,25/1/2023,33.3,26.2,9.6,6.3,3.4,2.2
PulseRC,24/1/2023,32,25,10.5,5.5,3.5,2.5
RASS,23/1/2023,30.8,24.7,13.9,6.1,3.3,3.1
MetronAnalysis,19/1/2023,28.7,21.7,9.7,4.7,3.5,2.8
Opinionpoll,17/1/2023,32.6,24.8,10,4.5,4,2.7
Alco,17/1/2023,28.6,22.2,9.9,5.1,4.1,3
Marc,24/12/2022,32.5,24.6,10.2,5.6,4,3
GPO,20/12/2022,32.2,25.8,10.1,6.3,3.9,2.4
PulseRC,20/12/2022,33,25.5,10,4.5,3.5,3
MRB,15/12/2022,28.5,23.1,11.3,5.1,4.5,2.9
RASS,5/12/2022,31.3,23.5,13.8,6.2,3.8,3.3
Opinionpoll,5/12/2022,32.1,24.2,11.2,4.5,3.9,2.3
GPO,30/11/2022,32.4,25.6,11,5.7,3.4,2.2
Marc,29/11/2022,32,24,11.3,5.6,4.1,3
Prorata,27/11/2022,30,25,10.5,4.5,4,2.5
MetronAnalysis,24/11/2022,28.9,20.9,11.3,4.8,3.4,3.6
PulseRC,23/11/2022,32,25.5,11,5,3.5,3
Alco,21/11/2022,27.9,21.2,10.5,4.8,4.5,2.5
GPO,13/11/2022,31.6,25.8,10.5,5.9,3.6,2.3
MRB,3/11/2022,29.1,23,11.5,5,4.5,3
PulseRC,26/10/2022,32.5,25.5,11,5,3.5,2.5
Marc,25/10/2022,32.4,23.7,11.2,5.2,4.4,3.1
GPO,18/10/2022,32.6,25.5,10.2,5.5,3.8,2.6
Alco,17/10/2022,28.4,20.8,10.4,5.1,4.6,2.9
MRB,14/10/2022,29.5,22.7,11.2,4.9,4.3,3.1
PalmosAnalysis,7/10/2022,28.7,20,11.1,5.5,3.8,3.9
MetronAnalysis,29/9/2022,29,20.6,12.2,5.1,4.8,3.4
Alco,26/9/2022,27.5,20.5,10.4,4.8,3.8,2.8
Marc,26/9/2022,32.8,24.1,11.4,5.4,4.1,2.8
GPO,22/9/2022,32.7,25.4,10.9,5.3,3.8,2.2
MRB,22/9/2022,29.6,22.6,11.1,5,4.2,3.5
PulseRC,21/9/2022,32,25,11.5,5,3.5,3
Opinionpoll,16/9/2022,31.5,22.6,11.6,4.8,4.7,2.2
Prorata,10/9/2022,30,25,11,5,3.5,2.5
MRB,7/9/2022,28.6,22.2,12.1,5.1,4.5,4.1
MetronAnalysis,1/9/2022,27.6,20.2,12.7,6.1,3.4,4
GPO,27/8/2022,31.4,25.1,12.1,5.7,4.8,2.1
Marc,27/8/2022,32,23.5,12.3,5.4,5,3
Prorata,30/7/2022,31,25.5,11.5,5.5,3.5,2.5
Marc,24/7/2022,32.2,23,11.8,5.5,4.8,2.8
Opinionpoll,18/7/2022,31.7,22.8,11.8,5.1,4.8,2.5
PulseRC,14/7/2022,32.5,25,12.5,5.5,3.5,2.5
MRB,7/7/2022,29.3,22.1,12.2,4.7,4.5,3.1
Alco,6/7/2022,27.4,19.7,11.2,4.7,4.6,2.7
GPO,5/7/2022,33.1,24.2,11.1,5.8,4.6,2.3
Marc,25/6/2022,32.5,22.5,12.8,5.4,4.6,2.9
PulseRC,9/6/2022,32,24,13.5,5,4,2.5
Alco,4/6/2022,27.4,19.7,11.2,4.7,4.6,2.7
Prorata,1/6/2022,31,25,12.5,5,3.5,2
KapaResearch,1/6/2022,32,23.9,12,6.1,4,2.8
Alco,30/5/2022,28,20.3,11.4,4.8,4.1,3.2
MetronAnalysis,25/5/2022,28.5,20.3,11.8,5,4.1,2.9
Marc,24/5/2022,32,22.1,13.2,5.7,4.6,2.8
GPO,23/5/2022,32.1,23.2,11.8,5.4,4.4,2.3
MRB,21/5/2022,29.1,21.7,11.8,4.8,4.6,3
Opinionpoll,13/5/2022,31.3,21.8,12.7,4.7,5.4,2.6
PulseRC,12/5/2022,31.5,23.5,14,5,4,3
Marc,11/5/2022,31.7,21.6,13.3,5.5,4.4,3
GPO,10/5/2022,30.8,22.8,12.6,5.9,4.6,2.4
Alco,3/5/2022,27.3,20.1,11.6,5.4,4.4,2.7
Prorata,11/4/2022,30,24.5,12,5,3.5,2
Opinionpoll,1/4/2022,30.1,21.2,12.6,4.2,4.7,2.9
PulseRC,31/3/2022,31,23,13.5,5.5,4,2.5
MRB,31/3/2022,28.6,21.2,13.4,4.5,4.9,3.1
Alco,29/3/2022,27.8,19.9,11.6,5.2,4,2.5
MetronAnalysis,23/3/2022,27,19.4,13.2,5,4.7,3.5
Marc,22/3/2022,30.8,21.5,14,5.5,4.7,2.9
Prorata,21/3/2022,31,24,12.5,5,3.5,2
GPO,15/3/2022,31.8,22.2,13.8,5.5,4.1,2.3
Marc,11/3/2022,32.5,21.2,14.5,5.8,4.7,2.4
GPO,9/3/2022,36.1,22.7,7.1,6.3,4.1,3
PulseRC,28/2/2022,32,23,14,5,4,3
Alco,21/2/2022,28.6,20,12.7,4.7,3.2,2.7
Alco,18/2/2022,34.1,21.1,5.9,4.9,4.1,2.7
Marc,15/2/2022,31.5,21,14.6,5.2,4.6,2.5
Opinionpoll,12/2/2022,31.2,19.6,14.2,4.7,4,2.6
GPO,6/2/2022,31.2,22,14.4,6.2,3.9,3
Prorata,3/2/2022,32,25,13,5,3.5,2
KapaResearch,1/2/2022,32.9,23.7,12.2,5.6,3.3,2.9
PulseRC,31/1/2022,31,22,14,5.5,4.5,2.5
Marc,25/1/2022,32.6,20.2,14.8,5,4.6,2.4
MetronAnalysis,20/1/2022,29.1,19.6,15,4.4,4.1,3.3
Prorata,19/1/2022,32.5,25.5,12,4.5,3.5,2
GPO,21/12/2021,32.2,21.5,13.1,5.5,3.8,2.9
Alco,20/12/2021,28.7,18.6,12,4.8,3.2,3.1
Marc,18/12/2021,33,19.2,15.2,5.3,4.6,2.1
MRB,17/12/2021,30.7,19.7,13.5,4.1,3.8,2.7
Prorata,15/12/2021,33,25,11,4.5,3.5,2
KapaResearch,15/12/2021,33.8,23.5,11.6,6,3.7,3
MRB,10/12/2021,31.3,21.2,10.5,4.6,3.9,3
PulseRC,25/11/2021,33,23,9.5,5.5,4,3
GPO,25/11/2021,34.3,23.6,9.4,5.4,3.5,3
MetronAnalysis,25/11/2021,30,18.6,9.6,4.9,4.2,3.3
Alco,22/11/2021,29.7,21,8.6,5,3.8,2.8
MRB,18/11/2021,32.3,22.5,9.3,5.1,4.3,3.7
Marc,18/11/2021,33.6,21.7,9,5.6,4.5,3.1
Marc,15/11/2021,34,21.5,8.2,5.8,4.3,2.9
MetronAnalysis,14/11/2021,28,18.3,9.8,5.1,4.3,4
PulseRC,2/11/2021,34.5,23.5,8,5,3.5,3
GPO,2/11/2021,35.5,24.5,7.1,5.8,3.5,2.9
Opinionpoll,19/10/2021,35.5,22.2,6.1,5.3,4.1,2.3
Alco,16/10/2021,31.6,22.5,5.8,4.8,4,3.7
Prorata,12/10/2021,34,26,6.5,4.5,3,2
Marc,11/10/2021,34.8,22,6.3,5.6,4.4,2.7
MetronAnalysis,30/9/2021,30.8,19.7,6,5.1,4,4.1
Marc,26/9/2021,34.4,23,6,5.4,4.5,2.9
GPO,24/9/2021,35.2,25,6,6.2,3.4,2.9
MRB,22/9/2021,34.3,24.2,6.9,5,3.9,3.5
PulseRC,21/9/2021,34.5,24,6.5,6,4.5,3
GPO,19/9/2021,35.4,24.9,6.4,5.8,3.6,3
Alco,17/9/2021,30.3,21.2,6.2,5,4.1,2.7
MRB,16/9/2021,34.6,23.7,7,5.3,3.7,3
Opinionpoll,7/9/2021,35,21.1,6.2,5.5,3.5,3.2
GPO,28/8/2021,34.5,24.4,6.4,6,4.1,3
Prorata,24/8/2021,33,25,6.5,4.5,3.5,2
Alco,20/7/2021,32.5,21.2,6.2,4.9,4.1,3.2
PalmosAnalysis,18/7/2021,31,16,7,4,5,3
Prorata,11/7/2021,34.5,24.5,7,4,3,2.5
GPO,10/7/2021,36,24,6.5,5.8,3.6,3
MRB,8/7/2021,36.7,23.8,7.1,5.2,3.5,3
Opinionpoll,7/7/2021,37.1,20.6,6.4,5.6,3.4,3
PulseRC,7/7/2021,36,23,6.5,6,4.5,3.5
GPO,29/6/2021,36.5,24.1,6.7,6,4.1,3
Marc,24/6/2021,37.6,21.2,6.4,5.5,3.5,3
Alco,22/6/2021,32.5,21.1,6,4.9,3.5,2.9
GPO,5/6/2021,36.2,23.6,7,6.1,3.5,3.5
PulseRC,2/6/2021,36.5,23.5,6.5,5.5,4,3.5
Opinionpoll,28/5/2021,37.3,19.9,6.7,5.3,4.2,3.1
MetronAnalysis,26/5/2021,34,20.1,6,5.3,4,4.7
Alco,24/5/2021,33.2,21.4,6.1,4.6,3.6,2.6
GPO,11/5/2021,36.9,23.2,7.2,6.1,3.9,3.2
Marc,27/4/2021,36.4,21,6.8,5.4,4.3,2.9
PulseRC,26/4/2021,36,23.5,6.5,5.5,4,3
Opinionpoll,23/4/2021,36.2,20.2,6.2,4.6,4,2.7
Alco,16/4/2021,32.7,20.8,5.2,4.9,3.7,2.5
GPO,13/4/2021,35.9,23.5,7,6.4,4,3.4
Prorata,6/4/2021,33,24,6,4.5,3,3
PulseRC,29/3/2021,35,24,6.5,5,4.5,3
Marc,24/3/2021,36.1,20.5,6.5,5.2,4.2,2.8
MetronAnalysis,24/3/2021,32.3,20.5,6,4.4,4.3,3.4
Alco,19/3/2021,33.2,20.7,5.4,5.3,3.8,2.6
GPO,6/3/2021,36.4,22.7,7.1,6.3,4.1,3
MRB,5/3/2021,35.6,22.5,5.7,4.6,4.5,3.5
PulseRC,1/3/2021,36,22,7,5.5,4.5,3
Opinionpoll,26/2/2021,37.8,20.4,6.8,5.4,4.2,2.9
Prorata,22/2/2021,33,24,5.5,4.5,2.5,3.5
Opinionpoll,19/2/2021,37.3,20.2,7.1,5.3,4.4,3.1
MetronAnalysis,28/1/2021,36.1,19.7,6.4,5.7,3.6,2.4
PulseRC,27/1/2021,37,22,7,6,4.5,3
Alco,22/1/2021,34.9,21.4,5.3,5.1,3.7,2.4
GPO,20/1/2021,37.2,23.3,6.2,6.1,4,3
Marc,13/1/2021,38.6,20,6.5,5,3.8,2
Opinionpoll,8/1/2021,38.6,21.4,6.5,5.1,3.2,2.7
